priority_rank,game_name,game_url,canonical_game_key,missing_rank_rows,best_missing_rank,first_missing_rank_date,last_missing_rank_date,first_observed_play_count_date,first_observed_play_count_source,page_gap_status,metrics_status,exact_metrics_endpoint_count,exact_metrics_cdx_rows,exact_metrics_cached_endpoint_count,exact_metrics_missing_cache_count,exact_metrics_first_cdx_date,exact_metrics_last_cdx_date,exact_metrics_cdx_rows_in_missing_window,exact_metrics_sampled_rows_in_missing_window,exact_metrics_parsed_rows,exact_metrics_first_parsed_date,exact_metrics_first_parsed_plays,exact_metrics_gap_status,side_endpoint_observations,side_endpoint_cdx_hit_observations,side_endpoint_rows_in_missing_window,side_endpoint_parsed_rows,developer_list_observations,developer_list_rows_in_missing_window,recommended_next_action
1,Supermechs,http://www.kongregate.com/games/Tacticsoft/supermechs,www.kongregate.com/games/tacticsoft/supermechs,274,2,2016-06-05,2018-11-25,2018-12-17,count_source_probe,,has_metrics,2,18,2,0,2018-12-17,2024-01-21,0,0,2,2018-12-17,3398196,exact_metrics_starts_after_missing_window,64,48,18,0,54,42,Exact metrics start too late and side endpoints lack public counts; pursue list/account captures or external corroboration.
2,Bloons Monkey City,https://www.kongregate.com/games/Ninjakiwi/bloons-monkey-city,www.kongregate.com/games/ninjakiwi/bloons-monkey-city,530,4,2014-11-25,2018-01-10,2018-02-21,count_source_probe,,has_metrics,2,26,2,0,2018-02-21,2025-07-14,0,0,2,2018-02-21,12681018,exact_metrics_starts_after_missing_window,64,48,24,0,53,40,Exact metrics start too late and side endpoints lack public counts; pursue list/account captures or external corroboration.
3,Crusaders of the Lost Idols,https://www.kongregate.com/games/Codename_Enter/crusaders-of-the-lost-idols,www.kongregate.com/games/codename_enter/crusaders-of-the-lost-idols,70,1,2015-08-09,2017-11-08,2018-04-19,count_source_probe,,has_metrics,2,8,2,0,2018-04-19,2024-01-20,0,0,8,2018-04-19,17651487,exact_metrics_starts_after_missing_window,64,48,16,0,49,34,Exact metrics start too late and side endpoints lack public counts; pursue list/account captures or external corroboration.
4,Mu Complex : Episode One,http://www.kongregate.com/games/StudioCime/mu-complex-episode-one,www.kongregate.com/games/studiocime/mu-complex-episode-one,20,1,2014-11-11,2015-10-03,2018-04-15,count_source_probe,,has_metrics,2,2,2,0,2018-04-15,2026-03-12,0,0,1,2018-04-15,641755,exact_metrics_starts_after_missing_window,0,0,0,0,31,16,Exact metrics start too late; pursue broader list/account captures or external corroboration.
5,There is no game,https://www.kongregate.com/games/KaMiZoTo_Creator/there-is-no-game,www.kongregate.com/games/kamizoto_creator/there-is-no-game,15,1,2016-03-07,2017-03-18,2017-03-29,count_source_probe,,has_metrics,2,20,2,0,2017-03-29,2024-09-24,0,0,2,2017-03-29,743305,exact_metrics_starts_after_missing_window,64,48,24,0,63,24,Exact metrics start too late and side endpoints lack public counts; pursue list/account captures or external corroboration.
6,Cosmos Quest,https://www.kongregate.com/games/GaiaByte/cosmos-quest,www.kongregate.com/games/gaiabyte/cosmos-quest,19,1,2017-03-04,2017-06-24,2017-09-04,count_source_probe,,has_metrics,2,8,2,0,2017-09-04,2025-08-13,0,0,2,2017-09-04,4947705,exact_metrics_starts_after_missing_window,0,0,0,0,47,24,Exact metrics start too late; pursue broader list/account captures or external corroboration.
7,The Enchanted Cave 2,http://www.kongregate.com/games/DustinAux/the-enchanted-cave-2,www.kongregate.com/games/dustinaux/the-enchanted-cave-2,39,1,2015-02-07,2015-09-15,2015-09-18,count_source_probe,,has_metrics,2,29,2,0,2015-09-18,2025-05-31,0,0,8,2015-09-18,1545521,exact_metrics_starts_after_missing_window,0,0,0,0,49,34,Exact metrics start too late; pursue broader list/account captures or external corroboration.
8,KingsRoad,http://www.kongregate.com/games/RumbleGames/kingsroad,www.kongregate.com/games/rumblegames/kingsroad,27,4,2014-12-27,2019-10-22,2021-03-18,count_source_probe,,has_metrics,2,1,2,0,2021-03-18,2021-03-18,0,0,1,2021-03-18,5667526,exact_metrics_starts_after_missing_window,48,24,12,0,31,16,Exact metrics start too late and side endpoints lack public counts; pursue list/account captures or external corroboration.
9,Blockade3D,https://www.kongregate.com/games/blockadeboss/blockade3d,www.kongregate.com/games/blockadeboss/blockade3d,24,3,2016-08-17,2019-03-02,2019-03-28,count_source_probe,,has_metrics,2,8,2,0,2019-03-28,2025-03-30,0,0,2,2019-03-28,535039,exact_metrics_starts_after_missing_window,0,0,0,0,9,0,Exact metrics start too late; pursue broader list/account captures or external corroboration.
10,Superfighters,https://www.kongregate.com/games/TRBW001/superfighters,www.kongregate.com/games/trbw001/superfighters,69,10,2018-06-25,2022-02-08,2022-03-19,count_source_probe,,has_metrics,2,1,2,0,2022-03-19,2022-03-19,0,0,1,2022-03-19,264900,exact_metrics_starts_after_missing_window,24,16,8,0,9,0,Exact metrics start too late and side endpoints lack public counts; pursue list/account captures or external corroboration.
