year,ranked_rows,ranked_rows_with_play_counts,ranked_play_count_rate,metrics_rows,metrics_games,unique_ranked_games
2007,617,617,1.0,0,0,58
2008,1909,1909,1.0,0,0,100
2009,1216,1216,1.0,0,0,92
2010,883,883,1.0,0,0,87
2011,1472,1472,1.0,0,0,350
2012,1952,1952,1.0,0,0,100
2013,136,136,1.0,1,1,27
2014,1934,605,0.3128,32,30,523
2015,2686,0,0.0,57,39,307
2016,4947,0,0.0,112,49,809
2017,4063,0,0.0,36,27,595
2018,340,0,0.0,60,56,34
2019,2499,0,0.0,289,143,132
2020,3464,0,0.0,752,206,110
2021,2128,0,0.0,720,212,126
2022,2128,0,0.0,623,179,93
2023,1248,0,0.0,770,267,117
2024,363,0,0.0,890,281,162
2025,680,0,0.0,344,141,157
2026,3198,3111,0.9728,1793,1793,327
